NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9021900000,9021999999,mTELE2,32,20,
9022000000,9022009999,mMTS,60,01,
9022010000,9022019999,mSPITERBURG,78,20,
9022020000,9022029999,mSPITERBURG,78,20,
9022030000,9022099999,mMTS,60,01,
9022100000,9022199999,mTELE2,74,20,
9022200000,9022299999,mMEGAFON,76,02,
9022300000,9022349999,mTELE2,13,20,
9022350000,9022399999,mTELE2,64,20,
9022400000,9022409999,mMEGAFON,21,02,
9022410000,9022439999,mMTS,40,01,
9022440000,9022469999,mTELE2,74,20,
9022470000,9022489999,mTELE2,58,20,
9022490000,9022499999,mMEGAFON,21,02,
9022500000,9022529999,mTELE2,42,20,
9022530000,9022799999,mTELE2,67,20,
9022800000,9022809999,mTELE2,64,20,
9022810000,9022819999,mTELE2,53,20,
9022820000,9022829999,mTELE2,53,20,
9022830000,9022849999,mTELE2,55,20,
9022850000,9022869999,mTELE2,32,20,
9022870000,9022889999,mTELE2,21,20,
9022890000,9022899999,mTELE2,64,20,
9022900000,9022999999,mMEGAFON,64,02,
9023000000,9023019999,mTELE2,54,20,
9023020000,9023029999,mTELE2,54,20,
9023030000,9023099999,mTELE2,54,20,
9023100000,9023149999,mTELE2,37,39,
9023150000,9023199999,mMTS,40,01,
9023200000,9023249999,mMEGAFON,64,02,
9023250000,9023269999,mTELE2,12,20,
9023270000,9023289999,mMEGAFON,21,02,
9023290000,9023299999,mTELE2,12,20,
9023300000,9023349999,mMEGAFON,76,02,
9023350000,9023399999,mMEGAFON,64,02,
9023400000,9023499999,mMTS,60,01,
9023500000,9023519999,mMEGAFON,33,02,
9023520000,9023549999,mMTS,60,01,
9023550000,9023579999,mTELE2,74,20,
9023580000,9023589999,mTELE2,12,20,
9023590000,9023599999,mMEGAFON,21,02,
9023600000,9023649999,mTELE2,37,39,
9023650000,9023669999,mTELE2,58,20,
9023670000,9023699999,mTELE2,64,20,
9023700000,9023799999,mMEGAFON,64,02,
9023800000,9023899999,mTELE2,37,39,
9023900000,9023999999,mTELE2,43,20,
9024000000,9024009999,mTELE2,67,20,
9024030000,9024089999,mTELE2,25,20,
9024090000,9024109999,mTELE2,67,20,
9024110000,9024139999,mTELE2,64,20,
9024140000,9024239999,mTELE2,42,20,
9024240000,9024249999,mMTT,64,42,
9024250000,9024289999,mTELE2,64,20,
9024290000,9024299999,mTELE2,64,20,
9024300000,9024399999,mTELE2,12,20,
9024400000,9024499999,mTELE2,67,20,
9024500000,9024599999,mTELE2,04,20,
9024600000,9024609999,mMTT,57,42,
9024610000,9024649999,mTELE2,24,20,
9024650000,9024669999,mTELE2,12,20,
9024670000,9024689999,mTELE2,19,20,
9024690000,9024699999,mMTT,77,42,
9024700000,9024799999,mTELE2,27,20,
9024800000,9024899999,mAKOS,28,39,
9024900000,9024999999,mEKATERINBURG,81,35,
9025000000,9025039999,mTELE2,67,20,
9025040000,9025049999,mTELE2,32,20,
9025050000,9025069999,mAKOS,28,39,
9025070000,9025079999,mTELE2,32,20,
9025080000,9025089999,mTELE2,51,20,
9025090000,9025099999,mTELE2,67,20,
9025100000,9025169999,mTELE2,41,20,
9025170000,9025179999,mTELE2,64,20,
9025180000,9025189999,mTELE2,64,20,
9025190000,9025199999,mTELE2,41,20,
9025200000,9025299999,mBEELINE,28,99,
9025300000,9025399999,mTELE2,04,20,
9025400000,9025499999,mTELE2,41,20,
9025500000,9025529999,mTELE2,26,20,
9025530000,9025579999,mBEELINE,28,99,
9025580000,9025589999,mTELE2,66,20,
9025590000,9025599999,mBEELINE,28,99,
9025600000,9025619999,mTELE2,41,20,
9025620000,9025659999,mTELE2,04,20,
9025660000,9025699999,mTELE2,41,20,
9025700000,9025759999,mTELE2,66,20,
9025760000,9025799999,mTELE2,41,20,
9025800000,9025819999,mTELE2,64,20,
9025820000,9025829999,mTELE2,74,20,
9025830000,9025879999,mTELE2,67,20,
9025880000,9025899999,mTELE2,74,20,
9025900000,9025999999,mEKATERINBURG,47,35,
9026000000,9026199999,mTELE2,75,39,
9026200000,9026209999,mTELE2,73,20,
9026210000,9026219999,mTELE2,83,20,
9026220000,9026249999,mTELE2,73,20,
9026250000,9026269999,mTELE2,83,20,
9026270000,9026279999,mTELE2,81,20,
9026280000,9026289999,mTELE2,83,20,
